Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Sub 1: Super Premium Beauty/Personal Care,Retail Value RSP,USD million,Current Prices,36751.6,37944.9,39014.5,36789.9,37797.0,39631.9,41812.3,43964.7,46158.2,48424.8,52116.1,1.315003823
World,Packaged Food,Retail Value RSP,USD million,Current Prices,2240610.3,2289269.7,2291811.7,2103072.8,2114907.4,2181125.4,2289283.2,2398780.0,2519738.6,2638522.5,2769646.5,1.269824514
World,Sub 1: Baked Goods,Retail Value RSP,USD million,Current Prices,371287.6,377167.1,374033.8,338997.5,343267.8,352790.9,370762.2,389024.1,409494.1,429897.4,453095.8,1.284318275
World,Sub 1: Breakfast Cereals,Retail Value RSP,USD million,Current Prices,30778.7,30865.3,30353.9,28260.9,27813.7,28078.0,29020.7,29906.2,30858.5,31730.0,32733.2,1.165795285
World,Sub 1: Edible Oils,Retail Value RSP,USD million,Current Prices,74312.8,77936.2,79211.9,76499.7,79144.8,84908.9,91525.6,98573.6,105834.1,112598.7,119328.4,1.405369755
World,Sub 1: Processed Fruit and Vegetables,Retail Value RSP,USD million,Current Prices,55761.9,56692.7,56234.8,50864.1,50653.8,51776.9,53783.3,55751.9,57926.3,59964.7,62258.0,1.20242811
World,Sub 1: Processed Meat and Seafood,Retail Value RSP,USD million,Current Prices,255688.4,257258.0,254153.3,225675.1,225338.1,228104.1,236185.0,243503.9,252231.6,260611.1,270353.5,1.185219818
World,Sub 1: Ready Meals,Retail Value RSP,USD million,Current Prices,93572.4,92155.1,91778.8,84283.9,86184.9,88094.8,91851.4,95205.9,98830.4,102298.8,106196.0,1.205474103
World,"Sub 1: Rice and Pasta/Noodles",Retail Value RSP,USD million,Current Prices,142471.5,141331.0,141332.8,131931.9,133606.0,139482.6,147204.1,155179.5,164171.0,173408.7,183541.4,1.315873091
World,"Sub 1: Sauces/ Dressings and Condiments",Retail Value RSP,USD million,Current Prices,126618.7,127159.2,127049.5,118596.8,120707.8,124741.9,131185.6,137447.3,144338.7,151046.6,158312.7,1.269122083
World,Sub 1: Soup,Retail Value RSP,USD million,Current Prices,16258.7,16129.0,15669.7,14042.1,14040.8,14195.4,14693.4,15151.1,15646.3,16097.7,16581.8,1.168110796
World,Sub 1: Spreads,Retail Value RSP,USD million,Current Prices,23057.7,24010.4,24287.9,22368.8,22668.1,23447.5,24679.4,25862.6,27172.7,28443.1,29838.9,1.272583431
World,Personal Accessories,Retail Value RSP,USD million,Current Prices,486322.5,523541.2,538725.4,526641.3,521837.8,551613.4,596461.0,623926.0,660508.0,697377.0,737055.5,1.336181282
World,Sub 1: Bags and Luggage,Retail Value RSP,USD million,Current Prices,123798.0,131165.2,137150.7,132698.6,131244.2,138241.1,149508.0,155990.9,164002.7,171955.3,180069.1,1.302572824
World,Sub 1: Jewellery,Retail Value RSP,USD million,Current Prices,277517.6,304538.6,311581.5,309385.0,308718.7,329155.4,357032.5,374953.6,399346.5,424104.4,451318.9,1.371142324
World,Sub 1: Watches,Retail Value RSP,USD million,Current Prices,65257.7,67498.0,69335.4,64887.0,62109.6,63605.1,67912.5,70125.8,73240.8,76312.3,79518.4,1.250189057
World,Sub 1: Writing Instruments,Retail Value RSP,USD million,Current Prices,19749.2,20339.4,20657.8,19670.6,19765.4,20611.7,22008.0,22855.8,23918.1,25005.0,26149.1,1.268653241
World,Pet Care,Retail Value RSP,USD million,Current Prices,104205.2,108126.0,110300.0,104008.3,107450.1,114388.6,124557.5,131483.3,138948.8,146775.8,155143.8,1.356287252
World,Sub 1: Pet Food,Retail Value RSP,USD million,Current Prices,76901.2,79917.5,80975.6,75507.9,77456.4,82827.5,90778.8,95877.2,101330.9,107077.1,113251.3,1.367315203
World,Sub 1: Pet Products,Retail Value RSP,USD million,Current Prices,27303.9,28208.5,29324.5,28500.4,29993.7,31561.1,33778.8,35606.1,37617.9,39698.7,41892.5,1.327346005
World,Soft Drinks,Off-trade Value RSP,USD million,Current Prices,521313.3,531076.5,530934.7,500835.2,505841.0,513147.8,526954.4,549213.8,573717.7,600298.1,629268.2,1.226290359
World,Sub 1: Bottled Water,Off-trade Value RSP,USD million,Current Prices,104121.1,109621.4,114351.1,113358.8,118875.6,125130.1,132959.6,142654.6,152670.8,163035.6,174121.2,1.391521305
World,Sub 1: Carbonates,Off-trade Value RSP,USD million,Current Prices,181531.1,183956.1,179984.2,165136.8,161722.0,162169.1,163454.6,167624.0,172904.9,178851.5,185420.3,1.143376266
World,Sub 1: Concentrates,Off-trade Value RSP,USD million,Current Prices,18004.1,18054.9,17293.6,15627.5,15311.9,15444.7,15337.0,15721.8,16242.6,16821.4,17447.6,1.129682027
World,Sub 1: Juice,Off-trade Value RSP,USD million,Current Prices,99206.2,100449.7,98635.8,90391.7,88946.4,88374.3,89095.3,91466.0,94530.1,98116.5,102162.9,1.156024998
World,Sub 1: RTD Coffee,Off-trade Value RSP,USD million,Current Prices,22728.5,20066.4,19876.9,18642.0,20558.6,20665.8,21289.5,22203.1,22808.6,23388.5,23960.0,1.159403459
World,Sub 1: RTD Tea,Off-trade Value RSP,USD million,Current Prices,46652.3,47653.8,48466.9,45679.8,46492.7,46551.9,47686.2,49340.8,50997.6,52819.9,54809.8,1.177391256
World,Sub 1: Sports and Energy Drinks,Off-trade Value RSP,USD million,Current Prices,46669.6,49048.0,50132.1,49904.9,51757.4,52642.6,54896.4,57873.7,61147.1,64752.9,68733.1,1.305655496
World,Sub 1: Asian Specialty Drinks,Off-trade Value RSP,USD million,Current Prices,2400.3,2226.2,2194.2,2093.9,2176.4,2169.5,2235.8,2329.6,2415.9,2511.8,2613.2,1.20451717
World,Tissue and Hygiene,Retail Value RSP,USD million,Current Prices,163921.4,169496.4,172597.1,163380.9,163470.5,169995.3,180526.8,190681.8,201874.9,213830.6,226861.5,1.334516307
World,Sub 1: Retail Tissue and Hygiene,Retail Value RSP,USD million,Current Prices,163921.4,169496.4,172597.1,163380.9,163470.5,169995.3,180526.8,190681.8,201874.9,213830.6,226861.5,1.334516307
World,Tobacco,Retail Value RSP,USD million,Current Prices,777421.2,796325.4,808624.2,772708.1,761191.1,785648.2,838779.8,859087.6,888596.8,916579.3,944625.6,1.202351892
World,Sub 1: Cigarettes,Retail Value RSP,USD million,Current Prices,715686.6,732622.3,739965.3,704157.7,687950.9,701897.9,741768.0,752318.9,771688.6,789158.2,807039.5,1.149796146
World,"Sub 1: Cigars/ Cigarillos and Smoking Tobacco",Retail Value RSP,USD million,Current Prices,45568.0,48341.2,50533.3,48058.6,49187.0,53152.7,58738.7,61684.1,65095.9,68510.8,71919.8,1.353078959
World,Sub 1: Smokeless Tobacco and Vapour Products,Retail Value RSP,USD million,Current Prices,16166.6,15361.9,18125.7,20491.8,24053.1,30597.6,38273.1,45084.6,51812.3,58910.3,65666.3,2.14612584
World,Toys and Games,Retail Value RSP,USD million,Current Prices,159841.9,168997.4,184900.1,181370.1,187598.6,206141.7,228470.4,243193.5,262067.0,278317.7,293648.4,1.424497809
World,Sub 1: Traditional Toys and Games,Retail Value RSP,USD million,Current Prices,81571.6,82691.1,84533.6,80593.5,82280.8,85146.1,90833.2,94505.2,98846.7,103251.8,107891.5,1.267133785
World,Sub 1: Video Games,Retail Value RSP,USD million,Current Prices,78270.2,86306.2,100366.5,100776.7,105317.8,120995.6,137637.1,148688.3,163220.4,175065.9,185756.9,1.535236819
World,Travel,Retail Value RSP,USD million,Current Prices,2298159.3,2393188.1,2481117.3,2392638.1,2361531.4,2344145.4,2424941.7,2526336.7,2640679.7,2769471.3,2908860.0,1.240904254
World,Sub 1: Travel Modes,Retail Value RSP,USD million,Current Prices,1037374.1,1085830.7,1111732.0,1056158.1,1062014.0,1088280.8,1127714.6,1180592.0,1238326.3,1298877.6,1364048.4,1.253397469
World,Sub 2: Airlines,Retail Value RSP,USD million,Current Prices,586526.9,613135.0,626210.6,590921.2,595476.6,610813.6,634027.7,665968.9,700334.7,736915.7,776606.6,1.271429778
World,Sub 2: Car Rental,Retail Value RSP,USD million,Current Prices,58458.9,61259.7,63909.6,62179.4,64379.3,66895.5,70048.5,73897.8,78006.9,82360.4,87122.5,1.302367125
World,Sub 2: Other Transport,Retail Value RSP,USD million,Current Prices,392388.2,411436.0,421611.8,403057.5,402158.2,410571.6,423638.4,440725.2,459984.7,479601.5,500319.3,1.21859208
World,Sub 1: Lodging,Retail Value RSP,USD million,Current Prices,637262.2,666491.7,684979.2,661213.7,675124.4,692850.8,720961.8,756735.5,795183.6,834979.5,876325.3,1.264810981
World,Sub 1: Activities,Retail Value RSP,USD million,Current Prices,498290.2,528235.0,550702.1,529557.1,541824.2,559358.6,581456.0,609865.6,641929.8,676406.8,714533.7,1.277416133
World,Sub 2: Intermediaries,Retail Value RSP,USD million,Current Prices,770453.9,791839.3,805095.9,773185.3,805660.3,837615.1,875824.0,925198.9,977663.6,1030471.1,1086687.1,1.297358536
World,Sub 2: Online Travel Sales to Residents,Retail Value RSP,USD million,Current Prices,643156.9,708450.6,778014.8,808738.8,875365.5,940509.6,1013020.0,1093579.7,1176627.3,1259832.2,1349413.2,1.43476813
World,Sub 2: Mobile Travel Sales to Residents,Retail Value RSP,USD million,Current Prices,47644.3,85429.2,135867.0,182091.3,232891.6,281071.4,337698.3,395185.1,454446.1,507261.8,573409.8,2.0400859
USA,Alcoholic Drinks,Off-trade Value RSP,USD million,Current Prices,93192.6,97145.3,100959.0,105891.3,109961.3,113340.2,117707.1,122261.9,127023.0,131994.0,137170.3,1.210252849
